year,month,yyyymm,n_crop_pixels,openet_mean,nldas_mean,delta_mean,delta_std,delta_min,delta_max
2015,1,201501,778,7.210796915167095,4.84853458404541,2.3622622477671174,3.191391743920607,-7.228002548217773,9.88710069656372
2015,2,201502,778,6.53598971722365,9.133172988891602,-2.597183881198226,5.047889832178199,-17.58300018310547,9.512099266052246
2015,3,201503,778,26.688946015424165,19.339200973510742,7.349743575853676,5.3723717520896574,-6.816596984863281,23.416316986083984
2015,4,201504,778,44.70694087403599,38.22414016723633,6.482801260862375,10.365002169928935,-22.112014770507812,40.661582946777344
2015,5,201505,778,59.012853470437015,62.64959716796875,-3.6367398705764415,16.408887488188913,-49.12907409667969,44.43672561645508
2015,6,201506,778,102.23650385604113,97.63740539550781,4.599103770709589,14.599619510560604,-33.791473388671875,71.0689926147461
2015,7,201507,778,140.75064267352184,127.99212646484375,12.758519626215369,11.402128667443623,-14.376541137695312,75.80241012573242
2015,8,201508,778,117.15938303341902,111.37680053710938,5.782588282097275,8.203321898389602,-43.506736755371094,57.53107452392578
2015,9,201509,778,79.0,81.00508880615234,-2.0050947096170066,7.410381473296564,-54.930137634277344,26.660499572753906
2015,10,201510,778,35.09768637532134,32.97296142578125,2.124723311867996,5.850928305495877,-13.753162384033203,21.847593307495117
2015,11,201511,778,14.456298200514139,14.379454612731934,0.07684323965430566,3.0217516630722896,-8.547388076782227,10.874897956848145
2015,12,201512,778,7.455012853470437,5.507745265960693,1.947267745485036,2.1133052811621345,-7.611598014831543,8.035199642181396
2016,1,201601,783,4.376756066411239,5.645580291748047,-1.2688238197511792,3.200538878960518,-11.236703872680664,8.242299318313599
2016,2,201602,783,13.236270753512132,6.721571922302246,6.514699069628466,5.407300084210306,-7.706001281738281,25.383597373962402
2016,3,201603,783,30.84035759897829,23.71187973022461,7.128476134357477,6.999682923209136,-12.543109893798828,34.3212890625
2016,4,201604,783,44.18390804597701,37.866493225097656,6.317414024323796,9.138680239887327,-21.3438720703125,29.99591827392578
2016,5,201605,783,71.64750957854406,69.83560943603516,1.8118966347413046,15.527448886330863,-40.891395568847656,49.126495361328125
2016,6,201606,783,127.41123882503193,111.28355407714844,16.127686316635113,14.553925893839288,-25.91278839111328,64.72714233398438
2016,7,201607,783,141.87228607918263,135.46298217773438,6.409301329085348,8.885480196889981,-57.39015197753906,55.77155303955078
2016,8,201608,783,113.26053639846744,114.02185821533203,-0.7613207547905192,9.19857591546821,-69.62686920166016,30.445907592773438
2016,9,201609,783,75.65644955300128,80.42330932617188,-4.766861605004789,7.667713406888616,-36.540000915527344,19.773666381835938
2016,10,201610,783,31.160919540229884,34.065338134765625,-2.904420236365853,6.030925270269887,-19.361515045166016,19.880224227905273
2016,11,201611,783,16.181353767560665,10.223258972167969,5.958095397681264,2.849194041332818,-3.451702117919922,16.747002601623535
2016,12,201612,783,7.596424010217114,5.531327724456787,2.065096077486625,3.2852226426327404,-8.195805549621582,11.654801368713379
2017,1,201701,803,6.601494396014944,5.202988624572754,1.3985061333752509,2.947299230161749,-8.65150260925293,9.305203914642334
2017,2,201702,803,17.77833125778331,8.107230186462402,9.671101770840428,3.9392735374568133,-5.007002830505371,18.727599620819092
2017,3,201703,803,28.051058530510584,23.682601928710938,4.3684568666432,5.900738536700009,-12.00631332397461,19.071704864501953
2017,4,201704,803,47.07222914072229,41.38117218017578,5.691054176720112,11.570171658457145,-26.039974212646484,36.139896392822266
2017,5,201705,803,56.926525529265255,67.3678970336914,-10.441371155260212,17.5323484280495,-50.806541442871094,43.3407096862793
2017,6,201706,803,107.48318804483188,104.04037475585938,3.4428203102957418,15.816564027837645,-42.410179138183594,71.11531829833984
2017,7,201707,803,152.68991282689913,133.15826416015625,19.531647327085807,14.684334238549157,-24.32019805908203,68.97274017333984
2017,8,201708,803,114.79327521793275,96.82798767089844,17.965292235834067,13.749887465241965,-20.522659301757812,71.30488586425781
2017,9,201709,803,89.38107098381072,66.30249786376953,23.078574279177086,12.116077621388406,-11.775192260742188,54.48768997192383
2017,10,201710,803,38.13947696139477,33.31477737426758,4.824698368609322,7.098950465191896,-16.75931167602539,32.696510314941406
2017,11,201711,803,13.044831880448319,7.339441299438477,5.705390143364779,2.7872802435074076,-1.294102668762207,14.099899291992188
2017,12,201712,803,7.077210460772105,4.755027770996094,2.3221826838378146,1.4906014414305522,-2.0741991996765137,8.094898462295532
2018,1,201801,808,7.3861386138613865,5.371481895446777,2.0146568441154935,3.1542671738696932,-6.5206990242004395,10.3423011302948
2018,2,201802,808,11.568069306930694,6.055356979370117,5.512712071142574,3.255307570201265,-7.400909423828125,12.93809700012207
2018,3,201803,808,26.389851485148515,20.819225311279297,5.570624802372243,7.402029870335746,-19.352195739746094,20.577096939086914
